diameter_mm,opacity,similarity
1.1,0.4,0.9599144696250281
1.1,0.5,0.966252030816513
1.1,0.6000000000000001,0.9656551072001284
1.1,0.7000000000000001,0.9622760747287373
1.1,0.8,0.957712505090153
1.1,0.9,0.9524299348647836
1.1,1.0,0.9462953430435858
1.2000000000000002,0.0,0.4407245842666704
1.2000000000000002,0.1,0.7129492591622241
1.2000000000000002,0.2,0.8619823654134299
1.2000000000000002,0.30000000000000004,0.9212667899451854
1.2000000000000002,0.4,0.9401242155268117
1.2000000000000002,0.5,0.9429174862409768
1.2000000000000002,0.6000000000000001,0.9395184813551201
1.2000000000000002,0.7000000000000001,0.9337559614634597
1.2000000000000002,0.8,0.9270261464782754
1.2000000000000002,0.9,0.9196759287773867
1.2000000000000002,1.0,0.9115112251891776
1.3,0.0,0.4407245842666704
1.3,0.1,0.7105929111940569
1.3,0.2,0.8497341748135985
1.3,0.30000000000000004,0.8989786090229871
1.3,0.4,0.9105299033527516
1.3,0.5,0.9082377122558595
1.3,0.6000000000000001,0.9011195669651948
1.3,0.7000000000000001,0.8924295012618464
1.3,0.8,0.8832312227491427
1.3,0.9,0.8736924663208402
1.3,1.0,0.8635390635863914
1.4000000000000001,0.0,0.4407245842666704
1.4000000000000001,0.1,0.7062967533812055
1.4000000000000001,0.2,0.8327160020486043
1.4000000000000001,0.30000000000000004,0.870602805034206
1.4000000000000001,0.4,0.8748279860270164
1.4000000000000001,0.5,0.8680833441517031
1.4000000000000001,0.6000000000000001,0.8582114903126454
1.4000000000000001,0.7000000000000001,0.8477693656132057
1.4000000000000001,0.8,0.837450130470673
1.4000000000000001,0.9,0.8272374020114442
1.4000000000000001,1.0,0.816782717809222
1.5,0.0,0.4407245842666704
1.5,0.1,0.7005162118655475
1.5,0.2,0.81283297028638
1.5,0.30000000000000004,0.8399539209039742
1.5,0.4,0.8383843813668864
1.5,0.5,0.8289481516654367
1.5,0.6000000000000001,0.8181050565861103
1.5,0.7000000000000001,0.8076745994987092
1.5,0.8,0.7979710532006552
1.5,0.9,0.7887726516387108
1.5,1.0,0.7795989356603468
1.6,0.0,0.4407245842666704
1.6,0.1,0.6929153090405124
1.6,0.2,0.7930652883852921
1.6,0.30000000000000004,0.8119839367057878
1.6,0.4,0.8064034127739974
1.6,0.5,0.7953728541981173
1.6,0.6000000000000001,0.7842445103343182
1.6,0.7000000000000001,0.7742869080538853
1.6,0.8,0.7655437522346475
1.6,0.9,0.7576519349298441
1.6,1.0,0.7500394690666691
1.7000000000000002,0.0,0.4407245842666704
1.7000000000000002,0.1,0.6853227244198916
1.7000000000000002,0.2,0.7755413343397748
1.7000000000000002,0.30000000000000004,0.7878890546925967
1.7000000000000002,0.4,0.7789696318750846
1.7000000000000002,0.5,0.766448538074063
1.7000000000000002,0.6000000000000001,0.7548565771832787
1.7000000000000002,0.7000000000000001,0.7450717683346259
1.7000000000000002,0.8,0.7369716212729301
1.7000000000000002,0.9,0.7301471580803088
1.7000000000000002,1.0,0.7240595732734826
1.8,0.0,0.4407245842666704
1.8,0.1,0.6769220242108324
1.8,0.2,0.760249025785872
1.8,0.30000000000000004,0.7682568192955896
1.8,0.4,0.7569454423095284
1.8,0.5,0.7431591026630756
1.8,0.6000000000000001,0.7309654517861646
1.8,0.7000000000000001,0.7210292958757031
1.8,0.8,0.7131556331904011
1.8,0.9,0.7069559166029566
1.8,1.0,0.7019985376717502
1.9000000000000001,0.0,0.4407245842666704
1.9000000000000001,0.1,0.667113752939871
1.9000000000000001,0.2,0.7429239438521491
1.9000000000000001,0.30000000000000004,0.746666817403012
1.9000000000000001,0.4,0.7332943381690435
1.9000000000000001,0.5,0.7186492108220476
1.9000000000000001,0.6000000000000001,0.7062820684150913
1.9000000000000001,0.7000000000000001,0.6966253826332337
1.9000000000000001,0.8,0.689395772374996
1.9000000000000001,0.9,0.6841991478039923
1.9000000000000001,1.0,0.6806625738059809
2.0,0.0,0.4407245842666704
2.0,0.1,0.659078110903182
2.0,0.2,0.728484361115603
2.0,0.30000000000000004,0.7286826697493457
2.0,0.4,0.713641745634781
2.0,0.5,0.6982943323024076
2.0,0.6000000000000001,0.685735723527346
